physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,mean_attachments_over_K_D,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,44.00549131075131,10.0,1.001,0.0552536064539186,0.0552536064539186,10.950201714249369,,,,gradient,500000.0,500000.0,65881.68892616876,100000.0,56363.75030837898,258.35956441634806,0.9688545198737308,45.420122844125736,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,42.503904727507056,10.0,1.001,0.0587221700880542,0.0587221700880542,10.927739326189874,,,,gradient,500000.0,500000.0,65836.72800682911,100000.0,56390.18804424376,258.18324708560436,0.9688545198737308,43.87026520044157,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,41.053556346582994,10.0,1.001,0.0623943863048462,0.0623943863048462,10.897248802311118,,,,gradient,500000.0,500000.0,65845.66905447662,100000.0,56446.62646466104,258.2183100175554,0.9688545198737308,42.373292898435814,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,39.65269778170136,10.0,1.001,0.0662810219185316,0.0662810219185316,10.858876970690872,,,,gradient,500000.0,500000.0,65908.03470471023,100000.0,56532.88358522932,258.46288119494204,0.9688545198737308,40.92740134697337,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,38.299640306260926,10.0,1.001,0.0703933205319817,0.0703933205319817,10.812796490571811,,,,gradient,500000.0,500000.0,66023.39976056536,100000.0,56648.72822979619,258.91529317868765,0.9688545198737308,39.53084753245767,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,36.99275281758719,10.0,1.001,0.0747430173265756,0.0747430173265756,10.759204359945384,,,,gradient,500000.0,500000.0,66191.38675451853,100000.0,56793.87934136291,259.5740657039943,0.9688545198737308,38.18194791763824,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,35.73045987064789,10.0,1.001,0.079342353965155,0.079342353965155,10.698320225563837,,,,gradient,500000.0,500000.0,66411.66205524771,100000.0,56968.00557919218,260.4378904127361,0.9688545198737308,36.87907641211664,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,34.5112397788635,10.0,1.001,0.084204093599163,0.084204093599163,10.630384523972808,,,,gradient,500000.0,500000.0,66683.93249977747,100000.0,57170.725226998795,261.5056176461861,0.9688545198737308,35.62066241210424,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,33.33362277972309,10.0,1.001,0.0893415359725868,0.0893415359725868,10.555656484160671,,,,gradient,500000.0,500000.0,67007.9425297696,100000.0,57401.606431020526,262.77624521478276,0.9688545198737308,34.40518890706874,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,32.196189262994515,10.0,1.001,0.0947685326171135,0.0947685326171135,10.474412023634478,,,,gradient,500000.0,500000.0,67383.47180807783,100000.0,57660.16778074976,264.2489090512856,0.9688545198737308,33.2311906509871,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,31.09756805939273,10.0,1.001,0.1004995021349694,0.1004995021349694,10.386941570146984,,,,gradient,500000.0,500000.0,67810.33329060419,100000.0,57945.879238896414,265.9228756494282,0.9688545198737308,32.09725239600021,10.0,0.002,1.0
