condition,plot_condition,log10_d_eff_um2_s,mean_density,sd_density,n_biological_replicates,min_n_tracks,mean_n_tracks
noSBA_NAI,+ NAI,-3.1958997722095672,0.411197204408958,0.0026005844949559165,3,81,202.0
noSBA_NAI,+ NAI,-3.1867881548974943,0.41068219406448453,0.0021848583443831978,3,81,202.0
noSBA_NAI,+ NAI,-3.1776765375854215,0.4101453410081082,0.0032576689326625067,3,81,202.0
noSBA_NAI,+ NAI,-3.1685649202733486,0.40958774744456417,0.004914331022597463,3,81,202.0
noSBA_NAI,+ NAI,-3.1594533029612757,0.40901053428785517,0.006723733003593697,3,81,202.0
noSBA_NAI,+ NAI,-3.150341685649203,0.40841483275141527,0.008576543603336595,3,81,202.0
noSBA_NAI,+ NAI,-3.14123006833713,0.4078017760448187,0.010436463096479782,3,81,202.0
noSBA_NAI,+ NAI,-3.132118451025057,0.40717249124650207,0.012287201157930675,3,81,202.0
noSBA_NAI,+ NAI,-3.123006833712984,0.4065280914179435,0.014119510086818457,3,81,202.0
noSBA_NAI,+ NAI,-3.1138952164009113,0.40586966802017743,0.01592713668953563,3,81,202.0
noSBA_NAI,+ NAI,-3.1047835990888384,0.40519828368846983,0.01770530410609291,3,81,202.0
noSBA_NAI,+ NAI,-3.0956719817767655,0.4045149654155422,0.01945006171173984,3,81,202.0
noSBA_NAI,+ NAI,-3.0865603644646926,0.40382069818792493,0.02115797844665565,3,81,202.0
noSBA_NAI,+ NAI,-3.0774487471526197,0.40311641911399604,0.022825987586189856,3,81,202.0
noSBA_NAI,+ NAI,-3.068337129840547,0.4024030120760072,0.02445130416605275,3,81,202.0
noSBA_NAI,+ NAI,-3.059225512528474,0.4016813029320709,0.026031379642007642,3,81,202.0
noSBA_NAI,+ NAI,-3.050113895216401,0.4009520552876961,0.027563876628523117,3,81,202.0
noSBA_NAI,+ NAI,-3.041002277904328,0.4002159668501227,0.029046654874612297,3,81,202.0
noSBA_NAI,+ NAI,-3.0318906605922553,0.3994736663724685,0.030477763672345212,3,81,202.0
noSBA_NAI,+ NAI,-3.0227790432801824,0.39872571118864214,0.0318554379647108,3,81,202.0
noSBA_NAI,+ NAI,-3.0136674259681095,0.3979725853341567,0.03317809653344653,3,81,202.0
noSBA_NAI,+ NAI,-3.004555808656036,0.39721469824244515,0.03444434127190532,3,81,202.0
noSBA_NAI,+ NAI,-2.995444191343964,0.39645238400109895,0.03565295691122039,3,81,202.0
noSBA_NAI,+ NAI,-2.986332574031891,0.3956859011476667,0.03680291078648907,3,81,202.0
noSBA_NAI,+ NAI,-2.977220956719818,0.39491543298029513,0.037893352365340485,3,81,202.0
noSBA_NAI,+ NAI,-2.968109339407745,0.3941410883546101,0.03892361234816108,3,81,202.0
noSBA_NAI,+ NAI,-2.9589977220956722,0.393362902934848,0.03989320120674256,3,81,202.0
noSBA_NAI,+ NAI,-2.9498861047835994,0.39258084086437717,0.040801807067544174,3,81,202.0
noSBA_NAI,+ NAI,-2.9407744874715265,0.3917947968184005,0.041649292873893226,3,81,202.0
noSBA_NAI,+ NAI,-2.9316628701594536,0.39100459839982715,0.04243569278246243,3,81,202.0
noSBA_NAI,+ NAI,-2.9225512528473807,0.39021000883802537,0.04316120776589404,3,81,202.0
noSBA_NAI,+ NAI,-2.913439635535308,0.38941072994942144,0.043826200407171396,3,81,202.0
noSBA_NAI,+ NAI,-2.904328018223235,0.38860640531867663,0.04443118888334381,3,81,202.0
noSBA_NAI,+ NAI,-2.8952164009111616,0.38779662365944256,0.044976840147240536,3,81,202.0
noSBA_NAI,+ NAI,-2.8861047835990887,0.3869809223144172,0.04546396232630808,3,81,202.0
noSBA_NAI,+ NAI,-2.876993166287016,0.38615879085560617,0.045893496368002724,3,81,202.0
noSBA_NAI,+ NAI,-2.867881548974943,0.3853296747472644,0.0462665069714202,3,81,202.0
