crosslinking,contrast_threshold_percent,mean_field_area_percent,sd_field_area_percent,n_biological_replicates,biological_replicate_values
noSBA,0.25,99.40253866474403,0.1096702792278378,3,99.291208;99.405939;99.510469
noSBA,0.5,97.6232468895193,0.39627399531805185,3,97.210205;97.659238;98.000298
noSBA,0.75,94.77302573391489,0.8441069173443697,3,93.920698;94.789715;95.608664
noSBA,1.0,91.00397047414795,1.3193886133248096,3,89.689403;90.99438;92.328128
noSBA,1.25,86.47049332829351,1.839705143071716,3,84.686583;86.363567;88.361329
noSBA,1.5,81.32373029395295,2.2881466306758838,3,79.175815;81.065224;83.730152
noSBA,1.75,75.72000136900928,2.674523247484664,3,73.314133;75.246057;78.599814
noSBA,2.0,69.88503482153284,3.0460198776160774,3,67.272516;69.151859;73.23073
noSBA,2.25,63.92073308850315,3.244678476546834,3,61.237349;62.998022;67.526829
noSBA,2.5,58.018713000886095,3.3701889076077785,3,55.379572;56.861516;61.815051
noSBA,2.75,52.302263871743456,3.3667643931885727,3,49.805463;50.970046;56.131283
noSBA,3.0,46.79827245561961,3.351435144710095,3,44.49687;45.254577;50.643371
noSBA,3.25,41.648480753336855,3.2049473559587716,3,39.646399;39.954074;45.344969
noSBA,3.5,36.803569837529814,3.0827349083978715,3,35.107654;34.941148;40.361907
noSBA,3.75,32.3630074502453,2.8904486409594474,3,31.020107;30.388299;35.680617
noSBA,4.0,28.334754664384423,2.696145179035571,3,27.325389;26.288931;31.389944
noSBA,4.25,24.72958428080919,2.518603092605252,3,24.060881;22.612816;27.515056
noSBA,4.5,21.469524853837644,2.295055360796082,3,21.095578;19.384406;23.92859
noSBA,4.75,18.60219913932266,2.1261978246460043,3,18.497275;16.530406;20.778917
noSBA,5.0,16.08899899930144,1.959095726502758,3,16.234513;14.061203;17.97128
noSBA,5.25,13.877922335561415,1.7868477061720818,3,14.221826;11.944119;15.467823
noSBA,5.5,11.969176014299242,1.6741689219406415,3,12.473648;10.10078;13.3331
noSBA,5.75,10.316670804545174,1.5519020258543894,3,10.949166;8.5484031;11.452443
noSBA,6.0,8.891715045321964,1.444695456872255,3,9.6215951;7.2276979;9.8258521
noSBA,6.25,7.668767257134701,1.3479000722678829,3,8.4835927;6.1129299;8.4097792
noSBA,6.5,6.620807814279465,1.2832273728396817,3,7.4839783;5.1462101;7.2322351
noSBA,6.75,5.728689524424094,1.2132418731787926,3,6.6087707;4.3446952;6.2326027
noSBA,7.0,4.956640722823347,1.1307390144846812,3,5.8657322;3.6904699;5.31372
noSBA,7.25,4.307271870963906,1.0542368672497748,3,5.2011145;3.1446695;4.5760316
noSBA,7.5,3.7547766547086483,0.9864105795225012,3,4.6225666;2.6819675;3.9597959
noSBA,7.75,3.2808988256246336,0.9256351944068288,3,4.1257827;2.2915098;3.425404
noSBA,8.0,2.8835169555922793,0.8633805372282554,3,3.6948136;1.9760975;2.9796397
noSBA,8.25,2.535117804146349,0.8062023759184559,3,3.3113255;1.7019427;2.5920852
noSBA,8.5,2.2455944066045834,0.7527190695445583,3,2.9861778;1.4812999;2.2693055
noSBA,8.75,1.996945980143595,0.7006143067149396,3,2.698587;1.2973629;1.994888
noSBA,9.0,1.7790236903641024,0.6525441096321657,3,2.4423972;1.1378769;1.756797
noSBA,9.25,1.5978350567551418,0.6063568391092834,3,2.2193935;1.0079189;1.5661928
noSBA,9.5,1.43799376935896,0.5736797022289918,3,2.0365206;0.89289987;1.3845608
noSBA,9.75,1.2966999115308935,0.5404483845660154,3,1.8701917;0.79684646;1.2230616
noSBA,10.0,1.1798816674754675,0.5068809195687711,3,1.7217642;0.71736606;1.1005147
noSBA,10.25,1.0786368574095404,0.47953632814680364,3,1.5924403;0.6429626;1.0005077
noSBA,10.5,0.9878913330706544,0.44994721533315263,3,1.4726141;0.58355654;0.90750337
noSBA,10.75,0.9091160966235563,0.42245840950664754,3,1.3663048;0.53319561;0.8278479
noSBA,11.0,0.8368386844805537,0.4007724769433449,3,1.2706189;0.48032539;0.75957179
