architecture,phi_b,chi_C,exploration_range_score,gradient_guidance_score,escape_score,exploit_score,passive_score
polarized,0.2638808277433672,0.0010918905346848,0.0002469800474255,0.6029974218937543,8.452261265865145e-06,0.997407379682038,0.0020561816354432
polarized,0.2810295562038046,0.0010918905346848,0.0002242559781032,0.6066663788428241,5.6563620103380185e-06,0.9969307722835375,0.0012707330218849
polarized,0.2992927229139804,0.0010918905346848,0.0002061561293607,0.6104674068338178,3.6521240704754472e-06,0.9959816715406052,0.0007507086535634
polarized,0.3187427514716758,0.0010918905346848,0.0001922434876644,0.614685153316475,2.2619140674157308e-06,0.9952730937369106,0.0004215495154736
polarized,0.3394567720409776,0.0010918905346848,0.0001827247891983,0.6187751174036517,1.334725216065825e-06,0.994109336316166,0.0002235000285658
polarized,0.3615169272162095,0.0010918905346848,0.0001755517592776,0.6221716601339691,7.447307201049745e-07,0.9930103979448344,0.0001109922988603
polarized,0.3850106977629344,0.0010918905346848,0.0001715800848665,0.6242788061474688,3.892014601110309e-07,0.9918500672655818,5.1135553429906826e-05
polarized,0.4100312495277678,0.0010918905346848,0.0001694973306482,0.625418635816009,1.8824192320802535e-07,0.9902420443689638,2.160167303402803e-05
polarized,0.436677802892698,0.0010918905346848,0.0001687959354287,0.626225960262767,8.30635397276622e-08,0.9884698375709364,8.247267349927589e-06
polarized,0.4650560262389961,0.0010918905346848,0.0001699707759746,0.6265515075170601,3.2853428944925624e-08,0.9864639045552924,2.7945710141068934e-06
polarized,0.4952784549810292,0.0010918905346848,0.0001728019953072,0.6262590060513372,1.14027755312135e-08,0.9841536536006008,8.211605274102206e-07
polarized,0.5274649378316696,0.0010918905346848,0.000176720491787,0.6252291930918248,3.3723966543266913e-09,0.9815046669602396,2.0299627450692025e-07
polarized,0.5617431120689951,0.0010918905346848,0.0001818050215896,0.6164853875440921,8.164729521800993e-10,0.978392304801496,4.0537339439423574e-08
polarized,0.5982489096889749,0.0010918905346848,0.0001881172931733,0.5952830606855675,1.5377415495595026e-10,0.9745003446843608,6.180909555655291e-09
polarized,0.6371270964513206,0.0010918905346848,0.0001958113425488,0.5648920135681057,2.0812957287773144e-11,0.9701611232156412,6.63486963090778e-10
polarized,0.6785318459561102,0.0010918905346848,0.0002052316515397,0.5286521634253154,1.803291223607077e-12,0.9645754657880892,4.431966196477332e-11
polarized,0.7226273510277293,0.0010918905346848,0.0002133122525406,0.4847905316279852,8.273682917610255e-14,0.9545604109470278,1.5068159014816084e-12
polarized,0.769588474830598,0.0010918905346848,0.0002133633550817,0.428882259716374,1.4294273145206218e-15,0.9360330828732736,1.8170945309949262e-14
polarized,0.8196014442987214,0.0010918905346848,0.0002011351338516,0.3622037203434631,4.566374695429591e-18,0.899417090111765,3.649608451865068e-17
polarized,0.8728645886288959,0.0010918905346848,0.0001708196942549,0.2769574315192318,3.842200447304336e-22,0.8099071170730344,1.525530558877476e-21
