architecture,K_D,speed
polarized,5.361029076820579,0.059568335083339
polarized,5.454641156710748,0.0601482161983972
polarized,5.5498878521524855,0.060731093698392
polarized,5.646797706128749,0.0613168988874878
polarized,5.745399760028305,0.061905559182654
polarized,5.845723562348681,0.0624969979844805
polarized,5.947799177551087,0.0630911345468754
polarized,6.051657195069956,0.0636878838458356
polarized,6.1573287384798245,0.0642871564475015
polarized,6.2648454748222555,0.0648888583757218
polarized,6.374239624095634,0.0654928909793749
polarized,6.48554396891068,0.0660991507997056
polarized,6.598791864314551,0.0667075294379625
polarized,6.714017247786481,0.0673179134236343
polarized,6.831254649407985,0.0679301840835662
polarized,6.950539202210622,0.0685442174126134
polarized,7.071906652704471,0.0691598839452476
polarized,7.195393371590431,0.0697770486300924
polarized,7.321036364659589,0.0703955707077783
polarized,7.448873283882906,0.0710153035825415
polarized,7.578942438694532,0.0716360947206004
polarized,7.711282807472169,0.0722577855210222
polarized,7.845934049217885,0.0728802112144063
polarized,7.982936515442894,0.0735032007560531
polarized,8.122331262259861,0.0741265767319689
polarized,8.264160062686368,0.07475015525624
polarized,8.408465419163221,0.0753737458945245
polarized,8.555290576291311,0.075997151580153
polarized,8.704679533790936,0.0766201685439766
polarized,8.85667705968737,0.0772425862518115
polarized,9.01132870372669,0.0778641873511507
polarized,9.168680811025862,0.0784847476278622
polarized,9.32878053596118,0.0791040359719202
polarized,9.491675856299228,0.0797218143631241
polarized,9.65741558757456,0.0803378378533233
polarized,9.826049397718482,0.0809518545714694
polarized,9.99762782194324,0.0815636057490198
polarized,10.172202277886123,0.0821728257456211
polarized,10.349825081018022,0.0827792421009959
polarized,10.530549460320984,0.0833825755939305
polarized,10.714429574239634,0.0839825403296344
polarized,10.901520526911014,0.0845788438293061
polarized,11.091878384677894,0.0851711871632504
polarized,11.285560192890417,0.0857592650661386
polarized,11.482623993001113,0.0863427661064121
polarized,11.683128839958428,0.0869213728624107
polarized,11.887134819903972,0.0874947621160818
polarized,12.094703068178802,0.0880626050741954
polarized,12.305895787644094,0.0886245676113083
polarized,12.520776267321748,0.0891803105278926
polarized,12.73940890136047,0.0897294898486441
polarized,12.961859208333056,0.0902717571260986
polarized,13.188193850870617,0.0908067597758664
polarized,13.418480655639623,0.0913341414371495
polarized,13.652788633667866,0.0918535423546783
polarized,13.891188001025242,0.0923645997877329
polarized,14.13375019986572,0.0928669484277797
polarized,14.38054791983672,0.093360220877477
polarized,14.631655119862309,0.0938440481023216
polarized,14.887147050306812,0.0943180599427819
polarized,15.14710027552538,0.0947818856332729
polarized,15.411592696808391,0.095235154344874
polarized,15.680703575726438,0.0956774957483565
polarized,15.954513557882986,0.0961085405938839
polarized,16.23310469708179,0.0965279213243138
polarized,16.516560479916294,0.0969352726664053
polarized,16.804965850788438,0.0973302322890567
polarized,17.098407237364274,0.0977124414363515
polarized,17.39697257647414,0.0980815455880192
polarized,17.700751340465075,0.0984371951272965
polarized,18.009834564013335,0.0987790460167595
polarized,18.324314871405186,0.0991067604799841
polarized,18.64428650429398,0.0994200076867792
