architecture,K_D,directional_persistence_time
polarized,21.046114272816222,111.29434807379788
polarized,21.413612844909963,111.31529168629292
polarized,21.787528525584413,111.3639180319884
polarized,22.167973367744448,111.44128663120652
polarized,22.555061380916573,111.5484581152069
polarized,22.94890856541464,111.68649455978496
polarized,23.349632947102172,111.85645996011192
polarized,23.75735461276167,112.05942083833614
polarized,24.172195746081535,112.2964469751091
polarized,24.59428066427135,112.5686122559725
polarized,25.023735855316584,112.87699562341491
polarized,25.46069001588377,113.22268212538636
polarized,25.90527408988758,113.6067640511148
polarized,26.357621307731343,114.0303421452074
polarized,26.81786722623278,114.49452689121432
polarized,27.286149769246897,115.00043985608218
polarized,27.762609268998155,115.54921508721476
polarized,28.247388508134527,116.14200055417813
polarized,28.740632762515705,116.77995962743024
polarized,29.242489844748555,117.46427258680852
polarized,29.753110148482772,118.19613815287197
polarized,30.272646693479956,118.976775034549
polarized,30.801255171469727,119.8074234868972
polarized,31.33909399280646,120.68934687311508
polarized,31.886324333940895,121.62383322526946
polarized,32.4431101857205,122.61219679849768
polarized,33.009618402533306,123.65577961372072
polarized,33.586018752309926,124.75595298414814
polarized,34.172483967398556,125.91411902107548
polarized,34.769189796328504,127.13171211466172
polarized,35.37631505647738,128.41020038552924
polarized,35.9940416876582,129.75108710315513
polarized,36.62255480664197,131.155912067113
polarized,37.26204276263245,132.6262529472849
polarized,37.91269719370955,134.16372657918916
polarized,38.57471308425834,135.76999021057057
polarized,39.24828882340089,137.44674269536193
polarized,39.93362626444824,139.19572563106573
polarized,40.630930785390845,141.01872443551332
polarized,41.34041135044492,142.9175693588405
polarized,42.0622805726737,144.8941364263769
polarized,42.79675477770209,146.95034830797655
polarized,43.544054068543915,149.08817510913167
polarized,44.30440239156101,151.3096350789966
polarized,45.07802760357436,153.61679523022386
polarized,45.8651615401468,156.01177186526616
polarized,46.666040085058206,158.49673100353553
polarized,47.48090324099377,161.07388870354097
polarized,48.30999520146666,163.7455112738367
polarized,49.153564423996535,166.5139153663208
polarized,50.01186370456576,169.38146794512585
polarized,50.885150253376025,172.35058612404055
polarized,51.773685771927504,175.42373686509427
polarized,52.67773653144411,178.60343653063904
polarized,53.597573452668094,181.89225028096763
polarized,54.533472187048034,185.29279130921435
polarized,55.48571319934451,188.8077199050185
polarized,56.45458185167806,192.43974233816323
polarized,57.440368489045014,196.1916095531708
